CustomerID,Gender,SeniorCitizen,Partner,Dependents,AgeGroup,City,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,SupportCallsLast6Months,Churn
CUST-100000,Male,0,No,No,18-25,Chennai,6,Yes,Yes,Fiber Optic,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Credit Card (Auto),91.23,520.68,4,Yes
CUST-100001,Female,0,No,Yes,26-35,Kolkata,7,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,Month-to-Month,Yes,Electronic Check,84.01,565.58,1,Yes
CUST-100002,Male,0,Yes,Yes,36-45,Kolkata,60,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-Month,Yes,Credit Card (Auto),75.17,4494.19,1,No
CUST-100003,Male,1,Yes,No,18-25,Bangalore,1,Yes,No,Fiber Optic,No,Yes,No,No,Yes,Yes,Two Year,Yes,Electronic Check,101.83,78.87,1,Yes
CUST-100004,Male,0,No,No,18-25,Pune,22,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Electronic Check,49.53,1096.78,0,Yes
CUST-100005,Female,0,No,No,26-35,Hyderabad,27,Yes,No,Fiber Optic,Yes,No,Yes,No,No,No,One Year,Yes,Mailed Check,82.84,2299.32,0,Yes
CUST-100006,Male,1,Yes,No,36-45,Bangalore,16,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,One Year,No,Mailed Check,72.35,1117.42,3,No
CUST-100007,Male,0,Yes,No,36-45,Delhi,28,Yes,No,DSL,No,No,No,No,Yes,No,One Year,No,Electronic Check,76.32,2107.4,0,No
CUST-100008,Male,1,No,Yes,18-25,Mumbai,4,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-Month,Yes,Bank Transfer (Auto),90.32,362.88,2,Yes
CUST-100009,Female,1,No,No,26-35,Delhi,45,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,No,No,Month-to-Month,Yes,Credit Card (Auto),107.59,4920.13,4,No
CUST-100010,Male,0,No,No,26-35,Hyderabad,3,Yes,Yes,Fiber Optic,Yes,No,No,Yes,Yes,No,Month-to-Month,No,Mailed Check,95.23,270.92,0,Yes
CUST-100011,Male,1,No,No,18-25,Pune,12,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,99.19,1145.33,1,No
CUST-100012,Male,0,Yes,Yes,18-25,Mumbai,1,No,No Phone Service,DSL,No,No,Yes,No,No,No,Two Year,No,Electronic Check,51.44,0.0,3,No
CUST-100013,Male,0,Yes,No,26-35,Bangalore,18,Yes,No,Fiber Optic,No,Yes,No,No,No,Yes,Two Year,Yes,Credit Card (Auto),90.97,1599.41,1,No
CUST-100014,Female,0,No,No,65+,Delhi,26,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-Month,No,Electronic Check,76.7,1950.82,1,No
CUST-100015,Male,1,No,No,18-25,Chennai,68,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Two Year,Yes,Mailed Check,83.33,5606.86,1,No
CUST-100016,Female,0,Yes,No,18-25,Kolkata,32,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-Month,No,Electronic Check,81.39,2608.0,2,No
CUST-100017,Female,0,Yes,No,36-45,Ahmedabad,18,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,Yes,Credit Card (Auto),41.58,735.29,2,No
CUST-100018,Female,0,No,No,46-55,Kolkata,64,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-Month,No,Electronic Check,65.99,4294.66,1,No
CUST-100019,Male,0,Yes,No,36-45,Kolkata,15,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,One Year,Yes,Mailed Check,93.76,1417.17,1,No
CUST-100020,Female,0,Yes,Yes,26-35,Chennai,19,Yes,No,Fiber Optic,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Mailed Check,109.43,2129.6,1,No
CUST-100021,Male,0,No,No,46-55,Delhi,21,Yes,No,Fiber Optic,No,No,No,No,Yes,No,Month-to-Month,Yes,Credit Card (Auto),87.85,1836.29,0,No
CUST-100022,Female,0,No,No,26-35,Pune,12,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-Month,No,Electronic Check,82.12,941.52,2,No
CUST-100023,Female,0,No,No,18-25,Pune,43,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Transfer (Auto),73.62,3196.6,2,No
