,0
PaymentMethod,0.16528628485653335
MonthlyCharges,0.1257143909078181
Contract,0.12190047511041005
Tenure,0.09847292798844662
TotalCharges,0.08453823844345297
CLV,0.08073938524345739
InternetService,0.03548313670233667
City,0.02897012335935016
EngagementScore,0.02631556213498066
SupportCallsLast6Months,0.02604533133976439
TenureGroup,0.023138359487540734
AgeGroup,0.021732351328666393
Partner,0.01901719202927239
MultipleLines,0.018966530303676878
RevenueTier,0.014146695731411233
TechSupport,0.014109883998261463
OnlineSecurity,0.011687181317799044
PaperlessBilling,0.011409734468740114
DeviceProtection,0.010182282659118372
StreamingTV,0.010157429725114757
OnlineBackup,0.010059920728977658
Gender,0.008890639075070619
StreamingMovies,0.008525094555903669
Dependents,0.008367706940446409
HighRiskFlag,0.007079935567371764
SeniorCitizen,0.006195904731998973
PhoneService,0.002867301264079185
